term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Spring2016,37172,NS 0270,A,4,Health Assessment,"[{'days': 'T', 'times': '0500pm-0640pm', 'dates': '01/19-05/03', 'location': 'SON 203'}]",['T 0500pm-0640pm 01/19-05/03 SON 203'],Diana R.  Mager,46,38,8
Spring2016,38202,NS 0270,B,4,Health Assessment,"[{'days': 'T', 'times': '0320pm-0500pm', 'dates': '01/19-05/03', 'location': 'SON 203'}]",['T 0320pm-0500pm 01/19-05/03 SON 203'],Diana R.  Mager,54,51,3
Spring2016,37510,NS 0270L,A,0,Health Assessment Lab,"[{'days': 'W', 'times': '0800am-1120am', 'dates': '01/19-05/03', 'location': 'SON 217'}]",['W 0800am-1120am 01/19-05/03 SON 217'],Mary M  Murphy,16,16,0
Spring2016,37511,NS 0270L,B,0,Health Assessment Lab,"[{'days': 'W', 'times': '1230pm-0350pm', 'dates': '01/19-05/03', 'location': 'SON 217'}]",['W 1230pm-0350pm 01/19-05/03 SON 217'],Mary M  Murphy,16,14,2
Spring2016,37512,NS 0270L,C,0,Health Assessment Lab,"[{'days': 'M', 'times': '0600pm-0920pm', 'dates': '01/19-05/03', 'location': 'SON 217'}]",['M 0600pm-0920pm 01/19-05/03 SON 217'],Susan N.  Bartos,16,10,6
Spring2016,37513,NS 0270L,D,0,Health Assessment Lab,"[{'days': 'R', 'times': '0600pm-0920pm', 'dates': '01/19-05/03', 'location': 'SON 217'}]",['R 0600pm-0920pm 01/19-05/03 SON 217'],Susan N.  Bartos,16,10,6
Spring2016,37514,NS 0270L,E,0,Health Assessment Lab,"[{'days': 'F', 'times': '0800am-1120am', 'dates': '01/19-05/03', 'location': 'SON 217'}]",['F 0800am-1120am 01/19-05/03 SON 217'],Gina M.  Reitmeyer,16,14,2
Spring2016,38203,NS 0270L,F,0,Health Assessment Lab,"[{'days': 'F', 'times': '1230pm-0350pm', 'dates': '01/19-05/03', 'location': 'SON 217'}]",['F 1230pm-0350pm 01/19-05/03 SON 217'],Gina M.  Reitmeyer,16,9,7
Spring2016,38205,NS 0270L,G,0,Health Assessment Lab,"[{'days': 'T', 'times': '1130am-0250pm', 'dates': '01/19-05/03', 'location': 'SON 217'}]",['T 1130am-0250pm 01/19-05/03 SON 217'],Danielle E.  Hall,16,16,0
Spring2016,37515,NS 0272,A,4,Geriatric Nursing,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'SON 214'}]",['MR 1100am-1215pm 01/19-05/03 SON 214'],Alison E.  Kris,31,36,-5
Spring2016,37517,NS 0272C,A,0,Geriatric Nursing Clinical,"[{'days': 'T', 'times': '0700am-0200pm', 'dates': '03/16-05/03', 'location': 'JHE '}]",['T 0700am-0200pm 03/16-05/03 JHE '],Katherine Marie  Saracino,7,7,0
Spring2016,37518,NS 0272C,B,0,Geriatric Nursing Clinical,"[{'days': 'W', 'times': '0700am-0200pm', 'dates': '03/16-05/03', 'location': 'LCH '}]",['W 0700am-0200pm 03/16-05/03 LCH '],Kathleen D.  Lovanio,7,6,1
